record_id,pmid,doi,title,abstract,authors,year,journal,source,llm_decision,llm_confidence,llm_reasoning,evidence_quote,human_decision,discrepancy,resolution_note,final_decision,timestamp,L1_decision,L1_exclusion_tags,L1_evidence,L1_reasoning,L1_error,L1_timestamp,L1_input_tokens,L1_output_tokens,L1_total_tokens
370,,10.1097/HEP.0000000000001077,"The Liver Meeting: San Diego, California, Nov 15-19, 2024",,,2024,Hepatology,EMBASE,,,,,,,,,,exclude,EXC-10,"The Liver Meeting: San Diego, California, Nov 15-19, 2024","The title indicates this record is a conference proceeding or meeting abstract, which should be excluded if a full publication is not available (implied by the lack of abstract content).",,2025-12-07T17:58:15.154972,667,101,1404
1,40990886.0,10.1016/j.jacc.2025.08.015,"Global, Regional, and National Burden of Cardiovascular Diseases and Risk Factors in 204 Countries and Territories, 1990-2023","BACKGROUND: Cardiovascular diseases (CVDs) are the leading cause of mortality and are among the foremost causes of disability globally. CVD burden has continued to increase in most countries since 1990, with trends driven by changing exposures to harmful risk factors, population growth, and population aging. OBJECTIVES: We report estimates of global, national, and subnational CVD burden, including 18 subdiseases and 12 associated modifiable risk factors. We analyzed change in CVD burden from 1990 to 2023 and identified drivers of change including population growth, population aging, and risk factor exposure. METHODS: The Global Burden of Disease (GBD) 2023 study, a multinational collaborative research study, quantified burden due to 375 diseases including CVD burden and identified drivers of change from 1990 to 2023 using all available data and statistical models. GBD 2023 estimated the population-level burden of diseases in 204 countries and territories from 1990 to 2023. RESULTS: CVDs were the leading cause of disability-adjusted life years (DALYs) and deaths estimated in the GBD. As of 2023, there were 437 million (95% UI: 401 to 465 million) CVD DALYs globally, a 1.4-fold increase from the number in 1990 of 320 million (292 to 344 million). Ischemic heart disease, intracerebral hemorrhage, ischemic stroke, and hypertensive heart disease were the leading cardiovascular causes of DALYs in 2023 globally. As of 2023, age-standardized CVD DALY rates were highest in low and low-middle Socio-demographic Index (SDI) settings and lowest in high SDI settings. The number of CVD deaths increased globally from 13.1 million (95% UI: 12.2 to 14.0 million) in 1990 to 19.2 million (95% UI: 17.4 to 20.4 million) in 2023. The number of prevalent cases of CVD more than doubled since 1990, with 311 million (95% UI: 294 to 333 million) prevalent cases of CVD in 1990 and 626 million (95% UI: 591 to 672 million) prevalent cases in 2023 globally. A total of 79.6% (95% UI: 75.7% to 82.5%) of CVD burden is attributable to modifiable risk factors 347 million [95% UI: 318 to 373 million] DALYs in 2023). Globally, high systolic blood pressure, dietary risks, high low-density lipoprotein cholesterol, and air pollution were the modifiable risks responsible for most attributable CVD burden in 2023. Since 1990, changes in exposure to modifiable risk factors have had mixed effects on CVD burden, with increases in high body mass index, high fasting plasma glucose, and low physical activity leading to higher burden, while reductions in tobacco usage have mitigated some of these increases. Population growth and population aging were the main drivers of the increasing burden since 1990, adding 128 million (95% UI: 115 to 139 million) and 139 million (95% UI: 126 to 151 million) CVD DALYs to the increase in CVD burden since 1990. CONCLUSIONS: CVD remains the leading cause of disease burden and death worldwide with the greatest burden in low, low-middle, and middle SDI regions. Large variation exists in CVD burden even for countries at similar levels of development, a gap explained substantially by known, modifiable risk factors that are inadequately controlled. The decades-long increase in CVD burden was the result of population growth, population aging, and increased exposure to a subset of risk factors led by metabolic risks. Countries will need to adopt effective health system and public health strategies if they are to progress in achieving global goals to reduce the burden of CVD.",,2025,J Am Coll Cardiol,Other,,,,,,,,,,exclude,EXC-3,"Global, Regional, and National Burden of Cardiovascular Diseases and Risk Factors in 204 Countries and Territories, 1990-2023. ... Ischemic heart disease, intracerebral hemorrhage, ischemic stroke, and hypertensive heart disease were the leading cardiovascular causes of DALYs in 2023 globally.","The study focuses exclusively on Cardiovascular Diseases (CVDs) and associated risk factors, with no mention of liver transplantation or ex vivo machine perfusion. This meets the criterion for non-liver organ only.",,2025-12-07T17:58:20.162741,1598,151,2416
5,41092926.0,10.1016/s0140-6736(25)01637-x,"Burden of 375 diseases and injuries, risk-attributable burden of 88 risk factors, and healthy life expectancy in 204 countries and territories, including 660 subnational locations, 1990-2023: a systematic analysis for the Global Burden of Disease Study 2023","BACKGROUND: For more than three decades, the Global Burden of Diseases, Injuries, and Risk Factors Study (GBD) has provided a framework to quantify health loss due to diseases, injuries, and associated risk factors. This paper presents GBD 2023 findings on disease and injury burden and risk-attributable health loss, offering a global audit of the state of world health to inform public health priorities. This work captures the evolving landscape of health metrics across age groups, sexes, and locations, while reflecting on the remaining post-COVID-19 challenges to achieving our collective global health ambitions. METHODS: The GBD 2023 combined analysis estimated years lived with disability (YLDs), years of life lost (YLLs), and disability-adjusted life-years (DALYs) for 375 diseases and injuries, and risk-attributable burden associated with 88 modifiable risk factors. Of the more than 310 000 total data sources used for all GBD 2023 (about 30% of which were new to this estimation round), more than 120 000 sources were used for estimation of disease and injury burden and 59 000 for risk factor estimation, and included vital registration systems, surveys, disease registries, and published scientific literature. Data were analysed using previously established modelling approaches, such as disease modelling meta-regression version 2.1 (DisMod-MR 2.1) and comparative risk assessment methods. Diseases and injuries were categorised into four levels on the basis of the established GBD cause hierarchy, as were risk factors using the GBD risk hierarchy. Estimates stratified by age, sex, location, and year from 1990 to 2023 were focused on disease-specific time trends over the 2010-23 period and presented as counts (to three significant figures) and age-standardised rates per 100 000 person-years (to one decimal place). For each measure, 95% uncertainty intervals [UIs] were calculated with the 2·5th and 97·5th percentile ordered values from a 250-draw distribution. FINDINGS: Total numbers of global DALYs grew 6·1% (95% UI 4·0-8·1), from 2·64 billion (2·46-2·86) in 2010 to 2·80 billion (2·57-3·08) in 2023, but age-standardised DALY rates, which account for population growth and ageing, decreased by 12·6% (11·0-14·1), revealing large long-term health improvements. Non-communicable diseases (NCDs) contributed 1·45 billion (1·31-1·61) global DALYs in 2010, increasing to 1·80 billion (1·63-2·03) in 2023, alongside a concurrent 4·1% (1·9-6·3) reduction in age-standardised rates. Based on DALY counts, the leading level 3 NCDs in 2023 were ischaemic heart disease (193 million [176-209] DALYs), stroke (157 million [141-172]), and diabetes (90·2 million [75·2-107]), with the largest increases in age-standardised rates since 2010 occurring for anxiety disorders (62·8% [34·0-107·5]), depressive disorders (26·3% [11·6-42·9]), and diabetes (14·9% [7·5-25·6]). Remarkable health gains were made for communicable, maternal, neonatal, and nutritional (CMNN) diseases, with DALYs falling from 874 million (837-917) in 2010 to 681 million (642-736) in 2023, and a 25·8% (22·6-28·7) reduction in age-standardised DALY rates. During the COVID-19 pandemic, DALYs due to CMNN diseases rose but returned to pre-pandemic levels by 2023. From 2010 to 2023, decreases in age-standardised rates for CMNN diseases were led by rate decreases of 49·1% (32·7-61·0) for diarrhoeal diseases, 42·9% (38·0-48·0) for HIV/AIDS, and 42·2% (23·6-56·6) for tuberculosis. Neonatal disorders and lower respiratory infections remained the leading level 3 CMNN causes globally in 2023, although both showed notable rate decreases from 2010, declining by 16·5% (10·6-22·0) and 24·8% (7·4-36·7), respectively. Injury-related age-standardised DALY rates decreased by 15·6% (10·7-19·8) over the same period. Differences in burden due to NCDs, CMNN diseases, and injuries persisted across age, sex, time, and location. Based on our risk analysis, nearly 50% (1·27 billion [1·18-1·38]) of the roughly 2·80 billion total global DALYs in 2023 were attributable to the 88 risk factors analysed in GBD. Globally, the five level 3 risk factors contributing the highest proportion of risk-attributable DALYs were high systolic blood pressure (SBP), particulate matter pollution, high fasting plasma glucose (FPG), smoking, and low birthweight and short gestation-with high SBP accounting for 8·4% (6·9-10·0) of total DALYs. Of the three overarching level 1 GBD risk factor categories-behavioural, metabolic, and environmental and occupational-risk-attributable DALYs rose between 2010 and 2023 only for metabolic risks, increasing by 30·7% (24·8-37·3); however, age-standardised DALY rates attributable to metabolic risks decreased by 6·7% (2·0-11·0) over the same period. For all but three of the 25 leading level 3 risk factors, age-standardised rates dropped between 2010 and 2023-eg, declining by 54·4% (38·7-65·3) for unsafe sanitation, 50·5% (33·3-63·1) for unsafe water source, and 45·2% (25·6-72·0) for no access to handwashing facility, and by 44·9% (37·3-53·5) for child growth failure. The three leading level 3 risk factors for which age-standardised attributable DALY rates rose were high BMI (10·5% [0·1 to 20·9]), drug use (8·4% [2·6 to 15·3]), and high FPG (6·2% [-2·7 to 15·6]; non-significant). INTERPRETATION: Our findings underscore the complex and dynamic nature of global health challenges. Since 2010, there have been large decreases in burden due to CMNN diseases and many environmental and behavioural risk factors, juxtaposed with sizeable increases in DALYs attributable to metabolic risk factors and NCDs in growing and ageing populations. This long-observed consequence of the global epidemiological transition was only temporarily interrupted by the COVID-19 pandemic. The substantially decreasing CMNN disease burden, despite the 2008 global financial crisis and pandemic-related disruptions, is one of the greatest collective public health successes known. However, these achievements are at risk of being reversed due to major cuts to development assistance for health globally, the effects of which will hit low-income countries with high burden the hardest. Without sustained investment in evidence-based interventions and policies, progress could stall or reverse, leading to widespread human costs and geopolitical instability. Moreover, the rising NCD burden necessitates intensified efforts to mitigate exposure to leading risk factors-eg, air pollution, smoking, and metabolic risks, such as high SBP, BMI, and FPG-including policies that promote food security, healthier diets, physical activity, and equitable and expanded access to potential treatments, such as GLP-1 receptor agonists. Decisive, coordinated action is needed to address long-standing yet growing health challenges, including depressive and anxiety disorders. Yet this can be only part of the solution. Our response to the NCD syndemic-the complex interaction of multiple health risks, social determinants, and systemic challenges-will define the future landscape of global health. To ensure human wellbeing, economic stability, and social equity, global action to sustain and advance health gains must prioritise reducing disparities by addressing socioeconomic and demographic determinants, ensuring equitable health-care access, tackling malnutrition, strengthening health systems, and improving vaccination coverage. We live in times of great opportunity. FUNDING: Gates Foundation and Bloomberg Philanthropies.",,2025,Lancet,Other,,,,,,,,,,exclude,EXC-7,a systematic analysis for the Global Burden of Disease Study 2023,"The record is explicitly identified as a systematic analysis/review (Global Burden of Disease Study), which meets the exclusion criterion for reviews and meta-analyses.",,2025-12-07T17:58:25.393806,2766,89,3565
184,41206327.0,10.1016/j.transproceed.2025.10.027,Optimization of Oxygen Supply Conditions for Hypothermic Oxygenated Machine Perfusion,"Hypothermic oxygenated machine perfusion (MP) contributes to the reduction of delayed graft function and ischemic reperfusion injury in donated after circulatory death donors. In this study, we focused on perfusate temperature, oxygen consumption, and oxygen supply and proposed the possibility of assessing organ function. We also calculated the oxygen supply volume for membrane, pressure, dissolved, and bubble dissolved oxygen supply methods during MP, and summarized the optimal oxygen supply methods. The consumption of adult human kidney and liver based on body surface area was converted to 5.3, 1.6, 0.6, and 0.4 mL/min for human kidney, and 86.9, 31.9, 14.3, and 9.6 mL/min for human liver (37, 22, 10, and 4°C, respectively). The results suggest that a compact oxygenation method is sufficient to supply oxygen at temperatures below 10°C, the hypothermic oxygenated MP temperature range, and that new oxygenation techniques should be investigated.","Abe, T.; Furukawa, M.; Matsuno, N.; Sakamoto, S.; Obara, H.",2025,Transplant Proc,Other,,,,,,,,,,exclude,EXC-4,"We also calculated the oxygen supply volume for membrane, pressure, dissolved, and bubble dissolved oxygen supply methods during MP, and summarized the optimal oxygen supply methods.","This study is a descriptive/feasibility study focused on calculating and optimizing technical parameters (oxygen supply methods) for machine perfusion, and does not appear to include a comparative clinical cohort or control group.",,2025-12-07T17:58:30.863973,879,113,1718
387,,10.1097/TXD.0000000000001633,Subnormothermic Oxygenated Machine Perfusion (24 h) in DCD Kidney Transplantation,"Background. Ex vivo kidney perfusion is an evolving platform that demonstrates promise in preserving and rehabilitating the kidney grafts. Despite this, there is little consensus on the optimal perfusion conditions. Hypothermic perfusion offers limited functional assessment, whereas normothermic perfusion requires a more complex mechanical system and perfusate. Subnormothermic machine perfusion (SNMP) has the potential to combine the advantages of both approaches but has undergone limited investigation. Therefore, the present study sought to determine the suitability of SNMP for extended kidney preservation., Methods. SNMP at 22-25 [degrees]C was performed on a portable device for 24 h with porcine kidneys. Graft assessment included measurement of mechanical parameters and biochemical analysis of the perfusate using point-of-care tests. To investigate the viability of kidneys preserved by SNMP, porcine kidney autotransplants were performed in a donation after circulatory death (DCD) model. SNMP was also compared with static cold storage (SCS). Finally, follow-up experiments were conducted in a subset of human kidneys to test the translational significance of findings in porcine kidneys., Results. In the perfusion-only cohort, porcine kidneys all displayed successful perfusion for 24 h by SNMP, evidenced by stable mechanical parameters and biological markers of graft function. Furthermore, in the transplant cohort, DCD grafts with 30 min of warm ischemic injury demonstrated superior posttransplant graft function when preserved by SNMP in comparison with SCS. Finally, human kidneys that underwent 24-h perfusion exhibited stable functional and biological parameters consistent with observations in porcine organs., Conclusions. These observations demonstrate the suitability and cross-species generalizability of subnormothermic machine perfusion to maintain stable kidney perfusion and provide foundational evidence for improved posttransplant graft function of DCD kidneys after SNMP compared with SCS., (C) 2024 The Authors. Published by Wolters Kluwer Health, Inc.","Abraham, N.; Gao, Q.; Kahan, R.; Alderete, I.; Wang, B.; Howell, D.; Anwar, I.; Ladowski, J.; Nakata, K.; Jarrett, E.; Hlewicki, K.; Cywinska, G.; Neill, R.; Aardema, C.; Gerber, D.; Roy-Chaudhury, P.; Hughes, B.; Hartwig, M.; Barbas, A.",2024,Transpl. direct,EMBASE,,,,,,,,,,exclude,"EXC-3,EXC-1",Subnormothermic Oxygenated Machine Perfusion (24 h) in DCD Kidney Transplantation; porcine kidneys,"The study focuses exclusively on machine perfusion of kidney grafts (non-liver organ only, EXC-3) and primarily uses a porcine animal model (EXC-1).",,2025-12-07T17:58:36.613489,1040,107,2001
406,,10.1097/TXD.0000000000001596,National Trends in Utilization of Normothermic Machine Perfusion in DCD Liver Transplantation,"Background. In liver transplantation, advances in ex situ normothermic machine perfusion (NMP) have improved outcomes compared with traditional static cold storage (SCS) in donation after circulatory death (DCD) organs. We aimed to characterize trends in the utilization of NMP versus SCS in DCD liver transplantation in the United States., Methods. This retrospective cohort study used data from the United Network for Organ Sharing database to identify recipient-donor adult liver transplant pairs from DCD donors from January 2016 to June 2022. Utilization of NMP and changes in donor risk index (DRI) and components between NMP and SCS were assessed across transplant year eras (2016-2018, 2019-2020, and 2021-2022). Statistical comparisons were made using the Kruskal-Wallis test or the chi-square test., Results. A total of 3937 SCS and 127 NMP DCD donor transplants were included. Utilization of NMP ranged from ~0.4% to 3.5% from 2016 to 2021 and rose significantly to 11.2% in early 2022. Across transplant eras, median DRI increased significantly for SCS and NMP, but the magnitude of the increase was larger for NMP. With NMP DCDs, there were significant increases in median donor age, national share proportion, and ""cold ischemic time"" over time. Finally, there was a shift toward including higher DRI donors and higher model for end-stage liver disease score transplant recipients with NMP in later transplant eras., Conclusions. In recent years, NMP utilization has increased and expanded to donors with higher DRI and recipients with higher model for end-stage liver disease score at transplant, suggesting increasing familiarity and risk tolerance with NMP technology. As NMP remains a relatively new technique, ongoing study of patient outcomes, organ allocation practices, and utilization patterns is critical., (C) 2024 The Authors. Published by Wolters Kluwer Health, Inc.","Abu-Gazala, S.; Tang, H.; Abt, P.; Mahmud, N.",2024,Transpl. direct,EMBASE,,,,,,,,,,pass,,,"No clear exclusion criteria met. This is a retrospective cohort study comparing ex situ normothermic machine perfusion (NMP) versus static cold storage (SCS) in adult DCD liver transplantation, which is highly relevant to the review topic.",,2025-12-07T17:58:41.011636,1094,80,1662
446,,10.34067/KID.0000000815,Packed Red Blood Cell and Whole Blood Perfusates during Ex Vivo Normothermic Perfusion for Assessment of High-Risk Donor Kidneys,"Key Points:, * Compared with whole blood (WB) kidneys perfused with a packed red blood cells perfusate exhibited superior kidney functional parameters., * Metabolomics assessment showed drastic metabolic aberration in the WB group involving amino acid, carbohydrate, and mitochondrial energy metabolism., * Tissue lipid profiling demonstrated that WB was associated with accumulation of tissue membrane/structure components including glycerolipids and ceramides., Background: Ex vivo normothermic perfusion (EVNP) with a blood-based perfusate has the potential to both assess viability of and repair high-risk organs before transplantation. The optimal perfusate is yet to be established., Methods: We assessed hemodynamic, functional, and metabolic changes of eight paired high-risk human kidneys perfused with either a leukocyte-depleted packed red blood cell (PRBC) or a whole blood (WB) perfusate during a 3-hour EVNP., Results: After a mean cold ischemia time of 54 hours, all kidneys showed high renal blood flow through perfusion. Renal resistance increased for both groups during the first hour and then decreased to similar terminal values. The kidneys perfused with PRBC had 55 ml/min greater renal blood flow (95% confidence interval, 21 to 89; P = 0.004) and higher total urine output (145 versus 25 ml, P = 0.002) compared with the WB group. Urinary acute kidney biomarkers of neutrophil gelatinase-associated lipocalin and kidney injury molecule-1 were also significantly lower (mean differences of 281 and 2.1 ng/ml, respectively; P < 0.01) in the PRBC perfused kidneys. Compared with PRBC, within-group tissue metabolic profiling revealed a similar (23% versus 18%) but a more pronounced alteration involving (branched chain) amino acid and mitochondrial energy metabolism in the WB group. Similarly, lipid profile temporal changes showed that WB groups were highlighted by elevation of plasma membrane and structure lipids including glycerolipids, sphingolipids, and steroids. The PRBC group had minimal temporal tissue lipid profile changes., Conclusions: Compared with WB, PRBC perfusion is superior in mitigating postischemia damage and facilitating function and metabolic recovery of high-risk kidneys subjected to long cold ischemia times during a 3-hour EVNP., Copyright (C) 2025 The Authors. Published by Wolters Kluwer Health, Inc. All rights reserved.","Ahmadi, A.; Yang, H.; Jen, K.; Fan, S.; Palma, I.; Sageshima, J.; Goussous, N.; Roshanravan, B.; Perez, R.",2025,Kidney360,EMBASE,,,,,,,,,,exclude,EXC-3,Packed Red Blood Cell and Whole Blood Perfusates during Ex Vivo Normothermic Perfusion for Assessment of High-Risk Donor Kidneys,"The study focuses exclusively on ex vivo machine perfusion of kidneys and does not involve the liver, meeting the criterion for non-liver organ only studies.",,2025-12-07T17:58:45.917476,1173,99,1917
54,40540312.0,10.1097/js9.0000000000002790,"Hypothermic oxygenated machine perfusion in non-transplant liver surgery: a polled, comparative and quantitative study","BACKGROUND: In-situ, ante-situm, ex-situ liver resections under hypothermic perfusion (HP) are expanding tumor resectability as they could allow for extensive hepatectomies and intricate vascular reconstructions. Meanwhile, hypothermic oxygenated machine perfusion (HOPE) has been well-established in liver transplantation, showing improved graft and patient outcomes. However, the quality of surgical treatment using HOPE in these non-transplant liver surgeries remains unproven. MATERIALS AND METHODS: An exhaustive literature research and polled analysis to study the efficacy of HOPE for in-situ, ante-situm, ex-situ liver resections for hepatic malignancies were performed. Considering the sufficiency of reported data, the ante-situm liver resection under HOPE for intrahepatic cholangiocarcinoma was selected to make comparisons focusing on perioperative surgical outcome and long-term oncological outcomes. Control groups were ante-situm liver resection under conventional HP and ante-situm liver resection without conventional HP (relying on total vascular exclusion, TVE). RESULTS: Three publications, reporting two case reports and one case series report, were identified with seven cases altogether. Generally, median hospital stay was 17 (12-30) days, 90-day severe complications occurred 14.3% (1/7) patients, no 90-day mortality was observed, median survival was 14.5 (6-34) months. Median hospital stay, 90-day severe complication and mortality rates of ante-situm approach under HOPE ( n = 5) were better than conventional HP ( n = 6) or TVE approaches ( n = 6) [17 (12-30) vs. 26.5 (16-70) vs. 28 (20-54), 20% vs. 50% vs. 33.3%, 0% vs. 16.7% vs. 16.7%; no statistical significance]; however, 6-month recurrence rate was higher (60% vs. 0% vs. 20%), restricted mean recurrence-free survival was shorter [6.6 (95%CI: 3.6-9.2) vs. 9.1 (95%CI: 5.5-11) vs. 8.7 (95%CI: 4.8-12.7)], and restricted mean overall survival showed insignificance. CONCLUSIONS: Although HOPE may improve perioperative outcomes of in-situ, ante-situm, ex-situ liver resections, current evidence suggests suboptimal oncological results of ante-situm approach under HOPE, highlighting the need for further refinement.","Aini, A.; Lu, Q.; Dong, J.",2025,Int J Surg,Other,,,,,,,,,,exclude,EXC-7,"Hypothermic oxygenated machine perfusion in non-transplant liver surgery: a polled, comparative and quantitative study. ... An exhaustive literature research and polled analysis to study the efficacy of HOPE...","The study is explicitly described as a 'polled, comparative and quantitative study' based on 'exhaustive literature research and polled analysis,' classifying it as a type of review or meta-analysis (EXC-7).",,2025-12-07T17:58:50.934588,1241,123,2087
140,40050203.0,10.1016/j.hpb.2025.02.011,Navigating new frontiers: onsite machine perfusion in US liver transplantation,"BACKGROUND: The increasing demand for liver transplantation (LT) necessitates optimal utilization of marginal donors including donation after cardiac death (DCD), older, and steatotic donors. Onsite machine perfusion (OMP) might make previously non-utilized organs useable. Comprehensive studies on OMP's safety in LT, using the US national database, are lacking. METHODS: This study aimed to assess OMP usage and implications in LT, using the UNOS database (2016-2023). The impact on recipient outcomes of marginal donor quality as assessed by the donor organ discard index (DSRI) was examined. RESULTS: Of 50,458 LT cases identified, 1263 (2.5 %) utilized OMP. OMP usage had surged since 2022, exceeding a 10.0 % proportion in early 2023 (Jan-June). In DBD, OMP livers had higher median DSRI than non-OMP livers (2.33vs1.73, P < 0.01) but had comparable graft survival (GS). DCD livers had better 90-day/1-year GS when OMP was used despite having a higher DSRI (24.3vs18.6, P < 0.01). For DCD donors with high DSRI (>13), OMP utilization correlated with a significantly lower hazard ratio (HR) than non-utilization. OMP cases with macrosteatosis≥30 % reported no graft failures. OMP did not exhibit a linear increase in HR with donor age. CONCLUSION: OMP's usage in LT significantly increased after its commercialization, offering comparable outcomes with non-OMP despite higher DSRI. It holds promise in optimizing marginal donor use, potentially expanding the donor pool.","Akabane, M.; Bekki, Y.; Kwong, A. J.; Esquivel, C. O.; Kim, W. R.; Melcher, M. L.; Sasaki, K.",2025,HPB (Oxford),Other,,,,,,,,,,pass,,,"No clear exclusion criteria met. This is a large comparative cohort study (50,458 cases) analyzing the impact of Onsite Machine Perfusion (OMP) in liver transplantation using the UNOS database.",,2025-12-07T17:58:55.745689,1043,77,1785
245,40260687.0,10.1080/20450923.2025.2493457,"Advancing precision medicine in hepatocellular carcinoma: current challenges and future directions in liquid biopsy, immune microenvironment, single nucleotide polymorphisms, and conversion therapy","Hepatocellular carcinoma (HCC) remains a health concern characterized by heterogeneity and high mortality. Surgical resection, radiofrequency ablation, trans-arterial chemoembolization, and liver transplantation offer potentially curative treatments for early-stage disease, but recurrence remains high. Most patients present with advanced-stage HCC, where locoregional therapies are less effective, and systemic treatments-primarily multi-kinase inhibitors and immune checkpoint inhibitors-often yield limited responses. Precision medicine aims to tailor therapy to molecular and genetic profiles, yet its adoption in HCC is hindered by inter-/intra-tumoral heterogeneity and limited biopsy availability. Advances in molecular diagnostics support reintroducing tissue sampling to better characterize genetic, epigenetic, and immunological features. Liquid biopsy offers a minimally invasive method for capturing real-time tumor evolution, overcoming spatial and temporal heterogeneity. Artificial intelligence and machine learning are revolutionizing biomarker discovery, risk stratification, and treatment planning by integrating multi-omics data. Immunological factors such as tumor-infiltrating lymphocytes, natural killer cells, macrophages, and fibroblasts have emerged as determinants of HCC progression and treatment response. Conversion therapy-combining systemic agents with locoregional treatments-has showndemonstrated promise in downstaging unresectable HCC. Ongoing efforts to refine biomarker-driven approaches and optimize multi-modality regimens underscore precision medicine's potential to improve outcomes. PubMed (January 2002-February 2025) was searched for relevant studies. Hepatocellular carcinoma (HCC) is the most common type of liver cancer and continues to be a major health problem worldwide. While early-stage HCC can sometimes be cured with surgery or liver transplantation, most patients are diagnosed when the cancer is advanced. Current treatments for advanced disease often do not work well for many patients.Precision medicine, a new approach that tailors treatments to each patient’s unique genetic makeup and tumor biology, shows promise for improving outcomes in HCC. However, the complex nature of this cancer makes finding effective personalized treatments challenging. Liquid biopsies—a simple blood test to detect cancer cells or genetic material from the tumor—are becoming an important tool. TheyLiquid biopsy can capture thegenetic changes in a tumor over time without the need for repeated invasive biopsies.The immune system’s interaction with cancer is another critical factor in determining how well patients respond to treatments. Recent research has identified that genetic differences between individuals can significantly impact their immune response to tumors.Additionally, new strategies known as conversion therapies—combining medication and targeted local treatments—are helping some patients with advanced HCC undergo surgery that was previously not possible.Advances in artificial intelligence (AI) are also improving the identification of important biomarkers and helping doctors select the best treatments for each patient. Overall, continued development in these areas offers hope for more effective and personalized care for patients with liver cancer. eng","Akabane, M.; Imaoka, Y.; Kawashima, J.; Pawlik, T. M.",2025,Hepat Oncol,Other,,,,,,,,,,exclude,EXC-7,"Advancing precision medicine in hepatocellular carcinoma: current challenges and future directions in liquid biopsy, immune microenvironment, single nucleotide polymorphisms, and conversion therapy. ... PubMed (January 2002-February 2025) was searched for relevant studies.","The title and abstract indicate this is a narrative review summarizing current challenges and future directions in hepatocellular carcinoma (HCC) management and diagnostics, not a primary research study on ex vivo machine perfusion.",,2025-12-07T17:59:01.129118,1233,132,2060
